variable_name,label,pair_id,A_region,B_region,A_motivation,B_motivation,A_education,B_education,A_employer,B_employer,A_gender,B_gender,A_age,B_age,A_occupation,B_occupation,A_language,B_language,A_politics,B_politics,A_appearance,B_appearance
CJ169,R1M1Ed2Em2G2A1O2L2P2Ap1 / R7M2Ed2Em1G2A5O4L2P2Ap2,169,"Африка (Нигерия, ЮАР, Кения)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от вооружённого конфликта,Бегство от политических преследований,Среднее (школа),Среднее (школа),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,21,46,Программист,Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ170,R1M2Ed2Em1G2A1O3L2P2Ap1 / R7M2Ed2Em2G2A9O3L1P1Ap1,170,"Африка (Нигерия, ЮАР, Кения)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от политических преследований,Бегство от политических преследований,Среднее (школа),Среднее (школа),Государственная организация,Небольшая частная компания,Мужчина,Мужчина,21,63,Строитель,Строитель,Говорит свободно,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ171,R1M3Ed1Em1G1A4O2L1P3Ap2 / R1M3Ed1Em2G1A6O2L1P2Ap1,171,"Африка (Нигерия, ЮАР, Кения)","Африка (Нигерия, ЮАР, Кения)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Государственная организация,Небольшая частная компания,Женщина,Женщина,45,47,Программист,Программист,Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ172,R2M2Ed2Em2G2A5O2L2P1Ap2 / R6M1Ed1Em2G2A1O2L1P1Ap2,172,"Восточная Азия (Китай, Южная Корея, Монголия)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)",Бегство от политических преследований,Бегство от вооружённого конфликта,Среднее (школа),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,46,21,Программист,Программист,Говорит свободно,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ173,R2M1Ed1Em2G2A3O4L2P1Ap2 / R5M2Ed1Em2G2A8O4L1P1Ap2,173,"Восточная Азия (Китай, Южная Корея, Монголия)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)",Бегство от вооружённого конфликта,Бегство от политических преследований,Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,23,62,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ174,R2M3Ed2Em2G2A6O2L1P3Ap2 / R2M2Ed3Em1G2A1O2L1P4Ap2,174,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Азия (Китай, Южная Корея, Монголия)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от политических преследований,Среднее (школа),Среднее специальное (колледж),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,47,21,Программист,Программист,Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ175,R5M3Ed1Em1G1A7O1L1P1Ap1 / R5M2Ed1Em1G1A4O1L1P1Ap1,175,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от политических преследований,Высшее (университет),Высшее (университет),Государственная организация,Государственная организация,Женщина,Женщина,61,45,Врач,Врач,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ176,R5M3Ed2Em1G1A8O2L2P1Ap2 / R5M3Ed3Em2G1A7O3L2P3Ap2,176,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее (школа),Среднее специальное (колледж),Государственная организация,Небольшая частная компания,Женщина,Женщина,62,61,Программист,Строитель,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ177,R2M1Ed1Em2G2A3O1L1P4Ap1 / R1M1Ed3Em1G2A2O2L2P4Ap2,177,"Восточная Азия (Китай, Южная Корея, Монголия)","Африка (Нигерия, ЮАР, Кения)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Высшее (университет),Среднее специальное (колледж),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,23,22,Врач,Программист,Говорит плохо,Говорит свободно,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ178,R1M1Ed2Em1G2A4O2L1P3Ap2 / R7M4Ed2Em2G2A8O4L1P3Ap2,178,"Африка (Нигерия, ЮАР, Кения)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от вооружённого конфликта,Поиск работы,Среднее (школа),Среднее (школа),Государственная организация,Небольшая частная компания,Мужчина,Мужчина,45,62,Программист,Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ179,R2M4Ed1Em2G1A6O4L1P3Ap1 / R7M4Ed1Em1G2A7O1L2P4Ap1,179,"Восточная Азия (Китай, Южная Корея, Монголия)","Южный Кавказ (Армения, Азербайджан, Грузия)",Поиск работы,Поиск работы,Высшее (университет),Высшее (университет),Небольшая частная компания,Государственная организация,Женщина,Мужчина,47,61,Сфера услуг (общепит),Врач,Говорит плохо,Говорит свободно,Страна помогает России обходить санкции (параллельный экспорт),Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ180,R2M4Ed1Em2G1A4O1L1P1Ap1 / R5M4Ed1Em1G1A8O1L1P1Ap1,180,"Восточная Азия (Китай, Южная Корея, Монголия)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)",Поиск работы,Поиск работы,Высшее (университет),Высшее (университет),Небольшая частная компания,Государственная организация,Женщина,Женщина,45,62,Врач,Врач,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ181,R6M4Ed1Em2G2A5O2L2P1Ap1 / R6M3Ed2Em2G2A7O2L2P4Ap1,181,"Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,46,61,Программист,Программист,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ182,R5M3Ed3Em1G2A6O2L1P3Ap2 / R6M4Ed1Em1G1A1O2L1P2Ap1,182,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Поиск работы,Среднее специальное (колледж),Высшее (университет),Государственная организация,Государственная организация,Мужчина,Женщина,47,21,Программист,Программист,Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ183,R1M4Ed1Em2G1A7O4L1P4Ap2 / R7M3Ed1Em2G1A3O4L1P3Ap2,183,"Африка (Нигерия, ЮАР, Кения)","Южный Кавказ (Армения, Азербайджан, Грузия)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,61,23,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна присоединилась к санкциям против России,Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ184,R2M3Ed2Em1G2A3O2L2P2Ap2 / R3M1Ed3Em1G1A3O2L1P2Ap2,184,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Европа (Беларусь, Молдова, Украина)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от вооружённого конфликта,Среднее (школа),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Женщина,23,23,Программист,Программист,Говорит свободно,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ185,R2M2Ed3Em2G1A9O4L2P2Ap2 / R4M4Ed1Em2G1A3O3L2P2Ap2,185,"Восточная Азия (Китай, Южная Корея, Монголия)","Западная Европа (Германия, Франция, Италия)",Бегство от политических преследований,Поиск работы,Среднее специальное (колледж),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,63,23,Сфера услуг (общепит),Строитель,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ186,R2M2Ed3Em2G2A2O4L1P1Ap2 / R2M2Ed3Em2G1A4O2L1P1Ap2,186,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Азия (Китай, Южная Корея, Монголия)",Бегство от политических преследований,Бегство от политических преследований,Среднее специальное (колледж),Среднее специальное (колледж),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,22,45,Сфера услуг (общепит),Программист,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ187,R3M4Ed2Em2G2A3O2L1P4Ap2 / R4M2Ed3Em2G2A1O3L2P4Ap1,187,"Восточная Европа (Беларусь, Молдова, Украина)","Западная Европа (Германия, Франция, Италия)",Поиск работы,Бегство от политических преследований,Среднее (школа),Среднее специальное (колледж),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,23,21,Программист,Строитель,Говорит плохо,Говорит свободно,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ188,R1M1Ed2Em2G2A1O4L1P2Ap2 / R1M1Ed3Em2G2A2O3L2P2Ap2,188,"Африка (Нигерия, ЮАР, Кения)","Африка (Нигерия, ЮАР, Кения)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Среднее (школа),Среднее специальное (колледж),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,21,22,Сфера услуг (общепит),Строитель,Говорит плохо,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ189,R2M2Ed3Em1G2A7O2L1P1Ap1 / R7M2Ed3Em1G2A3O2L1P3Ap1,189,"Восточная Азия (Китай, Южная Корея, Монголия)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от политических преследований,Бегство от политических преследований,Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Мужчина,61,23,Программист,Программист,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ190,R1M4Ed3Em1G2A5O4L1P1Ap1 / R1M3Ed2Em1G1A8O4L1P1Ap2,190,"Африка (Нигерия, ЮАР, Кения)","Африка (Нигерия, ЮАР, Кения)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее специальное (колледж),Среднее (школа),Государственная организация,Государственная организация,Мужчина,Женщина,46,62,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ191,R5M3Ed2Em2G1A4O2L1P1Ap2 / R5M2Ed2Em2G1A6O3L1P1Ap2,191,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от политических преследований,Среднее (школа),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,45,47,Программист,Строитель,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ192,R1M1Ed3Em1G2A5O3L2P2Ap1 / R1M1Ed3Em1G2A5O3L2P4Ap2,192,"Африка (Нигерия, ЮАР, Кения)","Африка (Нигерия, ЮАР, Кения)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Мужчина,46,46,Строитель,Строитель,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ193,R2M4Ed1Em1G2A9O4L2P1Ap1 / R2M4Ed1Em1G1A9O3L2P1Ap2,193,"Восточная Азия (Китай, Южная Корея, Монголия)","Восточная Азия (Китай, Южная Корея, Монголия)",Поиск работы,Поиск работы,Высшее (университет),Высшее (университет),Государственная организация,Государственная организация,Мужчина,Женщина,63,63,Сфера услуг (общепит),Строитель,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ194,R1M2Ed2Em1G2A7O4L2P1Ap2 / R3M4Ed1Em1G2A4O1L2P1Ap2,194,"Африка (Нигерия, ЮАР, Кения)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от политических преследований,Поиск работы,Среднее (школа),Высшее (университет),Государственная организация,Государственная организация,Мужчина,Мужчина,61,45,Сфера услуг (общепит),Врач,Говорит свободно,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ195,R7M1Ed2Em1G1A7O3L1P2Ap2 / R7M2Ed2Em1G2A7O2L2P2Ap2,195,"Южный Кавказ (Армения, Азербайджан, Грузия)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от вооружённого конфликта,Бегство от политических преследований,Среднее (школа),Среднее (школа),Государственная организация,Государственная организация,Женщина,Мужчина,61,61,Строитель,Программист,Говорит плохо,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ196,R7M2Ed1Em2G2A7O2L1P4Ap1 / R4M2Ed2Em2G2A6O2L1P1Ap1,196,"Южный Кавказ (Армения, Азербайджан, Грузия)","Западная Европа (Германия, Франция, Италия)",Бегство от политических преследований,Бегство от политических преследований,Высшее (университет),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,61,47,Программист,Программист,Говорит плохо,Говорит плохо,Страна присоединилась к санкциям против России,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ197,R7M2Ed1Em2G1A8O3L1P1Ap1 / R3M3Ed2Em2G1A8O3L1P4Ap1,197,"Южный Кавказ (Армения, Азербайджан, Грузия)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от политических преследований,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,62,62,Строитель,Строитель,Говорит плохо,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ198,R5M2Ed3Em1G2A2O3L2P3Ap1 / R1M4Ed2Em1G1A1O3L1P3Ap2,198,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Африка (Нигерия, ЮАР, Кения)",Бегство от политических преследований,Поиск работы,Среднее специальное (колледж),Среднее (школа),Государственная организация,Государственная организация,Мужчина,Женщина,22,21,Строитель,Строитель,Говорит свободно,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ199,R5M3Ed3Em2G2A8O4L2P1Ap2 / R6M1Ed3Em2G1A4O4L1P4Ap2,199,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от вооружённого конфликта,Среднее специальное (колледж),Среднее специальное (колледж),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,62,45,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ200,R5M1Ed1Em1G2A5O3L2P3Ap1 / R5M1Ed1Em1G2A9O4L1P1Ap1,200,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)",Бегство от вооружённого конфликта,Бегство от вооружённого конфликта,Высшее (университет),Высшее (университет),Государственная организация,Государственная организация,Мужчина,Мужчина,46,63,Строитель,Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ201,R7M4Ed1Em1G2A3O1L1P4Ap1 / R7M3Ed1Em2G2A7O3L2P3Ap1,201,"Южный Кавказ (Армения, Азербайджан, Грузия)","Южный Кавказ (Армения, Азербайджан, Грузия)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Государственная организация,Небольшая частная компания,Мужчина,Мужчина,23,61,Врач,Строитель,Говорит плохо,Говорит свободно,Страна присоединилась к санкциям против России,Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ202,R6M4Ed2Em1G1A8O4L1P2Ap1 / R6M1Ed2Em2G1A4O4L1P2Ap1,202,"Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)",Поиск работы,Бегство от вооружённого конфликта,Среднее (школа),Среднее (школа),Государственная организация,Небольшая частная компания,Женщина,Женщина,62,45,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ203,R2M4Ed1Em2G2A5O4L2P4Ap1 / R4M3Ed1Em2G1A4O2L1P4Ap2,203,"Восточная Азия (Китай, Южная Корея, Монголия)","Западная Европа (Германия, Франция, Италия)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,46,45,Сфера услуг (общепит),Программист,Говорит свободно,Говорит плохо,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ204,R5M2Ed3Em1G1A8O2L1P3Ap2 / R5M2Ed3Em2G1A6O3L2P3Ap1,204,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)",Бегство от политических преследований,Бегство от политических преследований,Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Небольшая частная компания,Женщина,Женщина,62,47,Программист,Строитель,Говорит плохо,Говорит свободно,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ205,R7M2Ed1Em1G2A2O3L2P4Ap2 / R3M2Ed2Em1G1A7O3L1P2Ap1,205,"Южный Кавказ (Армения, Азербайджан, Грузия)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от политических преследований,Бегство от политических преследований,Высшее (университет),Среднее (школа),Государственная организация,Государственная организация,Мужчина,Женщина,22,61,Строитель,Строитель,Говорит свободно,Говорит плохо,Страна присоединилась к санкциям против России,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ206,R6M1Ed2Em1G2A5O3L1P4Ap2 / R4M2Ed3Em1G1A9O3L1P4Ap2,206,"Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Западная Европа (Германия, Франция, Италия)",Бегство от вооружённого конфликта,Бегство от политических преследований,Среднее (школа),Среднее специальное (колледж),Государственная организация,Государственная организация,Мужчина,Женщина,46,63,Строитель,Строитель,Говорит плохо,Говорит плохо,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ207,R7M1Ed3Em2G1A9O3L1P4Ap1 / R4M2Ed1Em1G2A7O3L2P4Ap1,207,"Южный Кавказ (Армения, Азербайджан, Грузия)","Западная Европа (Германия, Франция, Италия)",Бегство от вооружённого конфликта,Бегство от политических преследований,Среднее специальное (колледж),Высшее (университет),Небольшая частная компания,Государственная организация,Женщина,Мужчина,63,61,Строитель,Строитель,Говорит плохо,Говорит свободно,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ208,R1M2Ed3Em2G2A5O4L1P3Ap2 / R7M1Ed1Em2G2A4O4L1P3Ap2,208,"Африка (Нигерия, ЮАР, Кения)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от политических преследований,Бегство от вооружённого конфликта,Среднее специальное (колледж),Высшее (университет),Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,46,45,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ209,R2M3Ed1Em1G1A8O4L2P4Ap1 / R6M1Ed1Em1G1A9O4L1P4Ap1,209,"Восточная Азия (Китай, Южная Корея, Монголия)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от вооружённого конфликта,Высшее (университет),Высшее (университет),Государственная организация,Государственная организация,Женщина,Женщина,62,63,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
